,Race,Gender,Year,JobType
64606,White,Men,2015,Semi-Skilled
23557,White,Men,2007,Unskilled
656,White,Men,2007,Skilled
53884,White,Men,2015,Unskilled
20116,White,Women,2015,Skilled
6265,White,Men,2007,Skilled
68113,White,Men,2007,Unskilled
14366,Minority,Women,2007,Unskilled
47713,White,Women,2015,Unskilled
79483,White,Men,2015,Unskilled
2451,Minority,Men,2015,Skilled
34989,Minority,Women,2007,Unskilled
54439,White,Men,2015,Unskilled
11949,Minority,Women,2015,Unskilled
19652,White,Men,2015,Skilled
24055,White,Men,2007,Unskilled
28793,White,Men,2015,Unskilled
42149,Minority,Men,2007,Unskilled
58888,White,Men,2007,Semi-Skilled
42672,White,Men,2015,Unskilled
46529,Minority,Men,2015,Unskilled
12647,Minority,Women,2015,Unskilled
67861,White,Men,2007,Unskilled
14196,Minority,Women,2007,Unskilled
41530,White,Men,2015,Unskilled
34961,White,Men,2007,Unskilled
64438,White,Men,2015,Semi-Skilled
18671,Minority,Women,2015,Unskilled
1690,White,Men,2015,Skilled
52348,Minority,Women,2015,Unskilled
2057,White,Men,2015,Skilled
7905,White,Women,2007,Skilled
4467,White,Men,2007,Skilled
9795,White,Men,2015,Skilled
33138,White,Women,2015,Unskilled
14125,Minority,Women,2007,Unskilled
57029,White,Men,2007,Semi-Skilled
75451,White,Women,2007,Unskilled
83410,White,Women,2015,Unskilled
3202,White,Men,2007,Skilled
9258,Minority,Women,2007,Unskilled
70904,White,Men,2015,Unskilled
29681,Minority,Men,2015,Semi-Skilled
82341,White,Women,2015,Unskilled
35489,Minority,Women,2007,Unskilled
40977,White,Women,2007,Unskilled
54777,White,Men,2015,Unskilled
47291,White,Women,2015,Unskilled
33658,Minority,Men,2007,Unskilled
49781,Minority,Women,2015,Unskilled
41663,Minority,Men,2007,Unskilled
35486,White,Women,2007,Unskilled
39204,White,Women,2007,Unskilled
38824,Minority,Women,2015,Unskilled
31536,White,Women,2015,Unskilled
3004,White,Men,2007,Skilled
27133,White,Women,2007,Unskilled
43724,Minority,Women,2007,Unskilled
84233,White,Women,2015,Unskilled
22285,Minority,Men,2007,Unskilled
23255,Minority,Men,2015,Unskilled
5710,Minority,Men,2015,Skilled
21679,White,Men,2007,Unskilled
11333,Minority,Women,2015,Unskilled
19757,White,Women,2015,Skilled
34947,Minority,Women,2007,Unskilled
32659,White,Women,2015,Unskilled
23419,Minority,Men,2015,Unskilled
78648,White,Men,2015,Unskilled
47682,White,Women,2015,Unskilled
29479,Minority,Men,2015,Semi-Skilled
34982,Minority,Women,2007,Unskilled
46456,White,Women,2015,Unskilled
45565,Minority,Men,2015,Unskilled
60392,White,Women,2007,Semi-Skilled
6600,Minority,Women,2015,Skilled
32680,White,Women,2015,Unskilled
20797,Minority,Women,2015,Unskilled
2370,Minority,Men,2015,Skilled
36099,Minority,Men,2015,Unskilled
60359,White,Women,2007,Semi-Skilled
34027,Minority,Men,2007,Unskilled
13981,White,Women,2015,Skilled
55839,White,Men,2007,Semi-Skilled
42140,Minority,Men,2007,Unskilled
4821,Minority,Women,2007,Skilled
62712,White,Men,2015,Semi-Skilled
3333,Minority,Women,2015,Skilled
52158,Minority,Women,2015,Unskilled
51058,Minority,Women,2015,Unskilled
46623,White,Women,2015,Unskilled
30559,White,Men,2015,Unskilled
39913,White,Women,2007,Unskilled
59261,White,Men,2007,Semi-Skilled
78774,White,Men,2015,Unskilled
6605,White,Women,2007,Skilled
18033,Minority,Women,2015,Unskilled
34350,Minority,Men,2007,Unskilled
63071,White,Men,2015,Semi-Skilled
7523,Minority,Men,2007,Unskilled
21243,Minority,Men,2007,Unskilled
44207,Minority,Women,2007,Unskilled
48089,White,Men,2007,Unskilled
36481,White,Women,2007,Unskilled
