,Race,Gender,Year,JobType
76173,White,Women,2007,Unskilled
3262,Minority,Women,2015,Skilled
23492,White,Men,2007,Unskilled
59089,White,Men,2007,Semi-Skilled
9683,Minority,Men,2015,Unskilled
20221,Minority,Women,2015,Unskilled
33831,White,Women,2015,Unskilled
69125,White,Women,2007,Unskilled
30408,Minority,Men,2015,Semi-Skilled
1753,Minority,Women,2007,Skilled
4091,White,Men,2007,Skilled
10653,Minority,Men,2015,Unskilled
9152,Minority,Women,2007,Unskilled
9994,White,Men,2015,Skilled
82147,White,Women,2015,Unskilled
80571,White,Men,2015,Unskilled
43287,White,Women,2015,Unskilled
28343,White,Men,2015,Unskilled
39643,White,Women,2007,Unskilled
83921,White,Women,2015,Unskilled
62345,White,Men,2015,Semi-Skilled
11842,Minority,Women,2015,Unskilled
68808,White,Women,2007,Unskilled
54237,White,Men,2015,Unskilled
3883,Minority,Men,2007,Skilled
22243,White,Men,2007,Unskilled
9197,White,Men,2015,Skilled
67779,White,Men,2007,Unskilled
62508,White,Men,2015,Semi-Skilled
35875,White,Women,2007,Unskilled
53690,White,Men,2015,Unskilled
19408,White,Men,2015,Skilled
27816,White,Women,2007,Unskilled
38029,Minority,Men,2015,Unskilled
841,Minority,Men,2007,Skilled
25314,Minority,Men,2007,Semi-Skilled
24188,White,Men,2007,Unskilled
19058,Minority,Women,2015,Unskilled
35660,Minority,Women,2007,Unskilled
13154,White,Women,2015,Skilled
83338,White,Women,2015,Unskilled
32585,Minority,Men,2007,Unskilled
27824,White,Women,2007,Unskilled
28768,Minority,Men,2015,Semi-Skilled
15162,White,Men,2007,Skilled
28954,Minority,Men,2015,Semi-Skilled
41320,Minority,Men,2007,Unskilled
31882,Minority,Women,2015,Semi-Skilled
7156,Minority,Men,2007,Unskilled
15986,Minority,Women,2007,Unskilled
418,White,Men,2007,Skilled
78904,White,Men,2015,Unskilled
21868,White,Men,2007,Unskilled
26133,Minority,Men,2007,Semi-Skilled
11710,White,Men,2015,Skilled
52422,White,Men,2015,Unskilled
79074,White,Men,2015,Unskilled
26339,Minority,Men,2007,Semi-Skilled
3051,Minority,Women,2015,Skilled
21423,Minority,Men,2007,Unskilled
26129,White,Women,2007,Unskilled
58510,White,Men,2007,Semi-Skilled
10929,Minority,Men,2015,Unskilled
35895,Minority,Men,2015,Unskilled
71318,White,Men,2015,Unskilled
12388,Minority,Women,2015,Unskilled
61169,White,Men,2015,Semi-Skilled
6434,Minority,Women,2015,Skilled
14258,Minority,Women,2007,Unskilled
38858,Minority,Women,2015,Unskilled
83745,White,Women,2015,Unskilled
260,White,Men,2007,Skilled
54047,White,Men,2015,Unskilled
29812,Minority,Men,2015,Semi-Skilled
60923,White,Women,2007,Semi-Skilled
35590,White,Women,2007,Unskilled
42869,White,Men,2015,Unskilled
44611,Minority,Women,2007,Unskilled
27832,White,Women,2007,Unskilled
686,Minority,Men,2007,Skilled
52230,White,Men,2015,Unskilled
79139,White,Men,2015,Unskilled
71262,White,Men,2015,Unskilled
77907,White,Women,2007,Unskilled
70355,White,Men,2015,Unskilled
35225,White,Men,2007,Unskilled
78744,White,Men,2015,Unskilled
32493,Minority,Men,2007,Unskilled
18493,White,Men,2015,Skilled
21358,Minority,Men,2007,Unskilled
62,White,Men,2007,Skilled
52778,White,Men,2015,Unskilled
72965,White,Men,2007,Unskilled
36610,White,Women,2007,Unskilled
36895,Minority,Men,2015,Unskilled
34315,White,Men,2007,Unskilled
33309,Minority,Men,2007,Unskilled
35981,Minority,Men,2015,Unskilled
52058,White,Men,2015,Unskilled
11955,Minority,Women,2015,Unskilled
46451,Minority,Men,2015,Unskilled
10794,Minority,Men,2015,Unskilled
25631,Minority,Men,2007,Semi-Skilled
43873,Minority,Women,2007,Unskilled
47108,Minority,Men,2015,Unskilled
39946,Minority,Men,2007,Unskilled
42961,White,Women,2015,Unskilled
7861,White,Women,2007,Skilled
73609,White,Men,2007,Unskilled
51547,Minority,Women,2015,Unskilled
82731,White,Women,2015,Unskilled
80609,White,Men,2015,Unskilled
45931,White,Women,2015,Unskilled
38497,Minority,Women,2015,Unskilled
50427,Minority,Women,2015,Unskilled
56645,White,Men,2007,Semi-Skilled
73732,White,Men,2007,Unskilled
72718,White,Men,2007,Unskilled
37079,White,Women,2007,Unskilled
38954,White,Women,2007,Unskilled
83181,White,Women,2015,Unskilled
14144,Minority,Women,2007,Unskilled
19693,White,Men,2015,Skilled
10143,Minority,Men,2015,Unskilled
45495,Minority,Women,2007,Unskilled
4227,White,Men,2007,Skilled
48512,White,Men,2007,Unskilled
29054,Minority,Men,2015,Semi-Skilled
38763,White,Women,2007,Unskilled
67139,White,Men,2007,Unskilled
4263,Minority,Men,2007,Skilled
54710,White,Men,2015,Unskilled
22354,Minority,Men,2007,Unskilled
26276,White,Women,2007,Unskilled
8165,White,Women,2007,Skilled
35058,White,Men,2007,Unskilled
44410,Minority,Women,2007,Unskilled
44011,Minority,Women,2007,Unskilled
23638,Minority,Men,2015,Unskilled
58430,White,Men,2007,Semi-Skilled
7556,White,Women,2007,Skilled
5231,Minority,Men,2015,Skilled
72807,White,Men,2007,Unskilled
15156,White,Men,2007,Skilled
31298,White,Women,2015,Unskilled
48604,Minority,Women,2015,Unskilled
28542,White,Men,2015,Unskilled
43643,White,Women,2015,Unskilled
42411,Minority,Women,2007,Unskilled
24060,Minority,Men,2015,Unskilled
54573,White,Men,2015,Unskilled
29251,White,Men,2015,Unskilled
83453,White,Women,2015,Unskilled
10361,White,Men,2015,Skilled
32466,White,Women,2015,Unskilled
35639,White,Women,2007,Unskilled
29687,Minority,Men,2015,Semi-Skilled
63291,White,Men,2015,Semi-Skilled
13593,White,Women,2015,Skilled
79160,White,Men,2015,Unskilled
51252,Minority,Women,2015,Unskilled
81061,White,Women,2015,Unskilled
19861,Minority,Women,2015,Unskilled
40416,White,Women,2007,Unskilled
38390,Minority,Women,2015,Unskilled
52461,White,Men,2015,Unskilled
42106,White,Men,2015,Unskilled
37782,Minority,Men,2015,Unskilled
13221,Minority,Men,2007,Unskilled
46000,Minority,Men,2015,Unskilled
23854,Minority,Men,2015,Unskilled
38113,White,Women,2007,Unskilled
55678,White,Men,2007,Semi-Skilled
82294,White,Women,2015,Unskilled
34461,Minority,Men,2007,Unskilled
6126,White,Men,2007,Skilled
27785,Minority,Women,2007,Semi-Skilled
22209,Minority,Men,2007,Unskilled
31589,Minority,Women,2015,Semi-Skilled
8624,Minority,Women,2007,Unskilled
21219,Minority,Men,2007,Unskilled
7136,Minority,Men,2007,Unskilled
13453,White,Women,2015,Skilled
69893,White,Men,2015,Unskilled
37053,White,Women,2007,Unskilled
54510,White,Men,2015,Unskilled
24677,Minority,Men,2007,Semi-Skilled
36256,White,Women,2007,Unskilled
59856,White,Women,2007,Semi-Skilled
18109,Minority,Women,2015,Unskilled
51943,White,Women,2007,Unskilled
46918,Minority,Men,2015,Unskilled
6115,White,Men,2007,Skilled
30976,Minority,Women,2015,Semi-Skilled
66369,White,Men,2007,Unskilled
43197,Minority,Women,2007,Unskilled
32821,Minority,Men,2007,Unskilled
67255,White,Men,2007,Unskilled
78366,White,Men,2015,Unskilled
35070,Minority,Women,2007,Unskilled
39615,White,Women,2007,Unskilled
19250,Minority,Women,2015,Unskilled
58123,White,Men,2007,Semi-Skilled
20035,White,Women,2015,Skilled
48130,White,Men,2007,Unskilled
77703,White,Women,2007,Unskilled
26799,Minority,Men,2007,Semi-Skilled
31324,White,Women,2015,Unskilled
81781,White,Women,2015,Unskilled
74773,White,Women,2007,Unskilled
44159,Minority,Women,2007,Unskilled
18142,White,Men,2015,Skilled
38150,Minority,Men,2015,Unskilled
10622,Minority,Men,2015,Unskilled
50575,Minority,Women,2015,Unskilled
23564,White,Men,2007,Unskilled
13202,White,Women,2015,Skilled
25308,Minority,Men,2007,Semi-Skilled
50039,White,Men,2007,Unskilled
43084,Minority,Women,2007,Unskilled
18130,White,Men,2015,Skilled
55337,White,Men,2007,Semi-Skilled
27892,White,Men,2015,Unskilled
27945,Minority,Women,2007,Semi-Skilled
40099,Minority,Men,2007,Unskilled
18231,Minority,Women,2015,Unskilled
26411,Minority,Men,2007,Semi-Skilled
73756,White,Men,2007,Unskilled
4336,Minority,Men,2007,Skilled
25416,White,Women,2007,Unskilled
22494,White,Men,2007,Unskilled
1441,Minority,Women,2007,Skilled
45569,Minority,Men,2015,Unskilled
28452,White,Men,2015,Unskilled
25414,White,Women,2007,Unskilled
28487,Minority,Men,2015,Semi-Skilled
11906,Minority,Women,2015,Unskilled
7095,Minority,Men,2007,Unskilled
7717,Minority,Men,2007,Unskilled
48413,Minority,Men,2015,Unskilled
631,Minority,Men,2007,Skilled
24307,White,Men,2007,Unskilled
56400,White,Men,2007,Semi-Skilled
38337,White,Women,2007,Unskilled
38912,Minority,Women,2015,Unskilled
14527,White,Women,2015,Skilled
13082,Minority,Women,2015,Unskilled
16501,White,Women,2007,Skilled
13647,White,Women,2015,Skilled
68523,White,Women,2007,Unskilled
18995,White,Men,2015,Skilled
22063,White,Men,2007,Unskilled
19651,White,Men,2015,Skilled
48823,White,Men,2007,Unskilled
15884,Minority,Women,2007,Unskilled
13696,Minority,Men,2007,Unskilled
45454,Minority,Women,2007,Unskilled
23082,White,Men,2007,Unskilled
56,White,Men,2007,Skilled
14615,White,Women,2015,Skilled
26202,White,Women,2007,Unskilled
33784,Minority,Men,2007,Unskilled
9687,Minority,Men,2015,Unskilled
22069,Minority,Men,2007,Unskilled
25793,Minority,Men,2007,Semi-Skilled
78148,White,Women,2007,Unskilled
24116,Minority,Men,2015,Unskilled
7104,Minority,Men,2007,Unskilled
48964,White,Men,2007,Unskilled
51039,White,Men,2007,Unskilled
48204,Minority,Men,2015,Unskilled
4544,Minority,Women,2007,Skilled
7776,Minority,Men,2007,Unskilled
42838,White,Men,2015,Unskilled
53004,White,Men,2015,Unskilled
40324,Minority,Men,2007,Unskilled
44183,White,Women,2015,Unskilled
68910,White,Women,2007,Unskilled
37659,Minority,Men,2015,Unskilled
26155,White,Women,2007,Unskilled
15672,White,Men,2007,Skilled
22454,White,Men,2007,Unskilled
60830,White,Women,2007,Semi-Skilled
42271,White,Men,2015,Unskilled
75946,White,Women,2007,Unskilled
37208,Minority,Men,2015,Unskilled
65552,White,Women,2015,Semi-Skilled
21263,White,Women,2015,Skilled
18469,White,Men,2015,Skilled
50503,Minority,Women,2015,Unskilled
13196,White,Women,2015,Skilled
18722,Minority,Women,2015,Unskilled
3145,Minority,Women,2015,Skilled
46517,White,Women,2015,Unskilled
66337,White,Men,2007,Unskilled
45071,White,Women,2015,Unskilled
7298,White,Women,2007,Skilled
12308,Minority,Women,2015,Unskilled
41992,Minority,Men,2007,Unskilled
1705,White,Men,2015,Skilled
62888,White,Men,2015,Semi-Skilled
24158,Minority,Women,2015,Unskilled
6907,Minority,Men,2007,Unskilled
21879,Minority,Men,2007,Unskilled
18513,Minority,Women,2015,Unskilled
37040,White,Women,2007,Unskilled
20012,White,Women,2015,Skilled
10423,White,Men,2015,Skilled
45290,White,Women,2015,Unskilled
8052,Minority,Women,2007,Unskilled
17369,White,Women,2007,Skilled
16017,Minority,Women,2007,Unskilled
35436,Minority,Women,2007,Unskilled
19915,White,Women,2015,Skilled
32683,White,Women,2015,Unskilled
74638,White,Women,2007,Unskilled
34151,White,Men,2007,Unskilled
67784,White,Men,2007,Unskilled
65281,White,Women,2015,Semi-Skilled
5733,White,Men,2007,Skilled
44199,White,Women,2015,Unskilled
45756,Minority,Men,2015,Unskilled
59891,White,Women,2007,Semi-Skilled
8674,White,Men,2015,Skilled
45161,White,Women,2015,Unskilled
60736,White,Women,2007,Semi-Skilled
1611,Minority,Women,2007,Skilled
74867,White,Women,2007,Unskilled
20077,White,Women,2015,Skilled
43397,White,Women,2015,Unskilled
4061,Minority,Men,2007,Skilled
3277,Minority,Women,2015,Skilled
56116,White,Men,2007,Semi-Skilled
11310,White,Men,2015,Skilled
74350,White,Men,2007,Unskilled
14413,Minority,Women,2007,Unskilled
13528,Minority,Men,2007,Unskilled
11639,Minority,Women,2015,Unskilled
7554,Minority,Men,2007,Unskilled
36512,Minority,Men,2015,Unskilled
50244,Minority,Women,2015,Unskilled
78256,White,Women,2007,Unskilled
7367,White,Women,2007,Skilled
79330,White,Men,2015,Unskilled
40712,Minority,Men,2007,Unskilled
39090,Minority,Women,2015,Unskilled
33822,Minority,Men,2007,Unskilled
67765,White,Men,2007,Unskilled
37345,Minority,Men,2015,Unskilled
44747,Minority,Women,2007,Unskilled
13795,Minority,Men,2007,Unskilled
66441,White,Men,2007,Unskilled
14479,Minority,Women,2007,Unskilled
49066,White,Men,2007,Unskilled
20840,White,Women,2015,Skilled
62061,White,Men,2015,Semi-Skilled
2979,White,Men,2007,Skilled
81692,White,Women,2015,Unskilled
10543,Minority,Men,2015,Unskilled
54862,White,Men,2015,Unskilled
48508,Minority,Men,2015,Unskilled
24043,Minority,Men,2015,Unskilled
16164,White,Men,2007,Skilled
57515,White,Men,2007,Semi-Skilled
27664,Minority,Women,2007,Semi-Skilled
1841,White,Men,2015,Skilled
33116,White,Women,2015,Unskilled
53391,White,Men,2015,Unskilled
1154,Minority,Men,2007,Skilled
51833,White,Women,2007,Unskilled
3547,Minority,Women,2015,Skilled
20218,White,Women,2015,Skilled
4680,Minority,Women,2007,Skilled
74741,White,Women,2007,Unskilled
16124,Minority,Women,2007,Unskilled
29922,White,Men,2015,Unskilled
74482,White,Men,2007,Unskilled
70855,White,Men,2015,Unskilled
17612,White,Women,2007,Skilled
67320,White,Men,2007,Unskilled
23045,Minority,Men,2015,Unskilled
80470,White,Men,2015,Unskilled
25540,White,Women,2007,Unskilled
7747,Minority,Men,2007,Unskilled
21148,Minority,Men,2007,Unskilled
10597,White,Men,2015,Skilled
70537,White,Men,2015,Unskilled
7662,Minority,Men,2007,Unskilled
65494,White,Women,2015,Semi-Skilled
29003,Minority,Men,2015,Semi-Skilled
22758,Minority,Women,2007,Unskilled
67075,White,Men,2007,Unskilled
26402,Minority,Men,2007,Semi-Skilled
67414,White,Men,2007,Unskilled
37056,Minority,Men,2015,Unskilled
25763,Minority,Men,2007,Semi-Skilled
68291,White,Men,2007,Unskilled
16746,Minority,Women,2007,Unskilled
58562,White,Men,2007,Semi-Skilled
39029,White,Women,2007,Unskilled
81153,White,Women,2015,Unskilled
9320,White,Men,2015,Skilled
49974,Minority,Women,2015,Unskilled
34841,White,Men,2007,Unskilled
17319,White,Women,2007,Skilled
76658,White,Women,2007,Unskilled
7215,Minority,Men,2007,Unskilled
7478,Minority,Men,2007,Unskilled
17349,Minority,Men,2015,Unskilled
35711,Minority,Women,2007,Unskilled
16514,White,Women,2007,Skilled
60274,White,Women,2007,Semi-Skilled
13764,White,Women,2015,Skilled
48707,Minority,Women,2015,Unskilled
34301,Minority,Men,2007,Unskilled
3146,Minority,Women,2015,Skilled
21523,White,Men,2007,Unskilled
45732,Minority,Men,2015,Unskilled
66907,White,Men,2007,Unskilled
18562,White,Men,2015,Skilled
62101,White,Men,2015,Semi-Skilled
51899,White,Women,2007,Unskilled
54005,White,Men,2015,Unskilled
62979,White,Men,2015,Semi-Skilled
10445,White,Men,2015,Skilled
7975,White,Women,2007,Skilled
824,White,Men,2007,Skilled
26193,White,Women,2007,Unskilled
29327,Minority,Men,2015,Semi-Skilled
40786,White,Women,2007,Unskilled
47028,White,Women,2015,Unskilled
15956,Minority,Women,2007,Unskilled
35999,White,Women,2007,Unskilled
16226,White,Men,2007,Skilled
49828,White,Men,2007,Unskilled
66417,White,Men,2007,Unskilled
27399,Minority,Women,2007,Semi-Skilled
3117,White,Men,2007,Skilled
84177,White,Women,2015,Unskilled
81195,White,Women,2015,Unskilled
10532,Minority,Men,2015,Unskilled
26216,White,Women,2007,Unskilled
34745,White,Men,2007,Unskilled
22485,White,Men,2007,Unskilled
15832,Minority,Women,2007,Unskilled
31520,Minority,Women,2015,Semi-Skilled
29225,Minority,Men,2015,Semi-Skilled
63434,White,Men,2015,Semi-Skilled
79013,White,Men,2015,Unskilled
77133,White,Women,2007,Unskilled
69309,White,Women,2007,Unskilled
20554,Minority,Women,2015,Unskilled
43600,Minority,Women,2007,Unskilled
42088,White,Men,2015,Unskilled
35178,White,Men,2007,Unskilled
10692,Minority,Men,2015,Unskilled
61321,White,Men,2015,Semi-Skilled
5283,White,Men,2007,Skilled
71413,White,Women,2015,Unskilled
46013,White,Women,2015,Unskilled
39235,White,Women,2007,Unskilled
54273,White,Men,2015,Unskilled
21533,White,Men,2007,Unskilled
20853,White,Women,2015,Skilled
36992,Minority,Men,2015,Unskilled
7261,White,Women,2007,Skilled
23970,White,Men,2007,Unskilled
58770,White,Men,2007,Semi-Skilled
28857,White,Men,2015,Unskilled
1612,Minority,Women,2007,Skilled
14815,Minority,Women,2007,Unskilled
22036,Minority,Men,2007,Unskilled
69025,White,Women,2007,Unskilled
47105,Minority,Men,2015,Unskilled
26756,White,Women,2007,Unskilled
73824,White,Men,2007,Unskilled
43751,Minority,Women,2007,Unskilled
60339,White,Women,2007,Semi-Skilled
12957,White,Women,2015,Skilled
22397,Minority,Men,2007,Unskilled
11656,White,Men,2015,Skilled
6264,White,Men,2007,Skilled
37541,White,Women,2007,Unskilled
84129,White,Women,2015,Unskilled
44780,Minority,Women,2007,Unskilled
19418,Minority,Women,2015,Unskilled
38511,Minority,Women,2015,Unskilled
56049,White,Men,2007,Semi-Skilled
58204,White,Men,2007,Semi-Skilled
46566,Minority,Men,2015,Unskilled
9760,White,Men,2015,Skilled
23920,White,Men,2007,Unskilled
8414,Minority,Women,2007,Unskilled
61889,White,Men,2015,Semi-Skilled
63513,White,Men,2015,Semi-Skilled
34484,Minority,Men,2007,Unskilled
51185,Minority,Women,2015,Unskilled
15451,White,Men,2007,Skilled
52239,Minority,Women,2015,Unskilled
16560,Minority,Women,2007,Unskilled
42842,White,Men,2015,Unskilled
14593,White,Women,2015,Skilled
17432,Minority,Men,2015,Unskilled
73404,White,Men,2007,Unskilled
3699,White,Men,2007,Skilled
63010,White,Men,2015,Semi-Skilled
74295,White,Men,2007,Unskilled
67457,White,Men,2007,Unskilled
17006,Minority,Men,2015,Unskilled
3830,Minority,Men,2007,Skilled
7668,Minority,Men,2007,Unskilled
50654,Minority,Women,2015,Unskilled
23467,Minority,Men,2015,Unskilled
27111,Minority,Women,2007,Semi-Skilled
3708,White,Men,2007,Skilled
4065,Minority,Men,2007,Skilled
68766,White,Women,2007,Unskilled
75929,White,Women,2007,Unskilled
21610,White,Men,2007,Unskilled
41020,White,Women,2007,Unskilled
41911,Minority,Men,2007,Unskilled
8173,White,Women,2007,Skilled
83117,White,Women,2015,Unskilled
29002,White,Men,2015,Unskilled
14806,Minority,Women,2007,Unskilled
59206,White,Men,2007,Semi-Skilled
45036,White,Women,2015,Unskilled
75688,White,Women,2007,Unskilled
7999,Minority,Women,2007,Unskilled
51215,Minority,Women,2015,Unskilled
51198,White,Men,2007,Unskilled
3310,Minority,Women,2015,Skilled
47612,White,Women,2015,Unskilled
70304,White,Men,2015,Unskilled
3158,White,Men,2007,Skilled
34404,Minority,Men,2007,Unskilled
17878,Minority,Men,2015,Unskilled
22275,Minority,Men,2007,Unskilled
64991,White,Men,2015,Semi-Skilled
32799,White,Women,2015,Unskilled
22902,White,Men,2007,Unskilled
33036,Minority,Men,2007,Unskilled
2565,Minority,Men,2015,Skilled
36046,White,Women,2007,Unskilled
16807,White,Women,2007,Skilled
1495,White,Men,2015,Skilled
61800,White,Men,2015,Semi-Skilled
3700,White,Men,2007,Skilled
4491,Minority,Women,2007,Skilled
23780,Minority,Men,2015,Unskilled
33469,Minority,Men,2007,Unskilled
10594,White,Men,2015,Skilled
80037,White,Men,2015,Unskilled
11894,White,Men,2015,Skilled
3893,Minority,Men,2007,Skilled
2402,Minority,Men,2015,Skilled
54061,White,Men,2015,Unskilled
58349,White,Men,2007,Semi-Skilled
4859,White,Men,2007,Skilled
32686,Minority,Men,2007,Unskilled
8214,White,Women,2007,Skilled
40479,Minority,Men,2007,Unskilled
30355,White,Men,2015,Unskilled
44850,Minority,Women,2007,Unskilled
45475,White,Women,2015,Unskilled
20972,Minority,Women,2015,Unskilled
27004,Minority,Women,2007,Semi-Skilled
16841,White,Women,2007,Skilled
35678,Minority,Women,2007,Unskilled
58582,White,Men,2007,Semi-Skilled
47026,White,Women,2015,Unskilled
4269,Minority,Men,2007,Skilled
3270,White,Men,2007,Skilled
31125,White,Women,2015,Unskilled
81907,White,Women,2015,Unskilled
31693,White,Women,2015,Unskilled
78320,White,Men,2015,Unskilled
7646,White,Women,2007,Skilled
5565,White,Men,2007,Skilled
39503,Minority,Women,2015,Unskilled
58456,White,Men,2007,Semi-Skilled
19005,Minority,Women,2015,Unskilled
4573,Minority,Women,2007,Skilled
45897,White,Women,2015,Unskilled
57711,White,Men,2007,Semi-Skilled
66196,White,Men,2007,Unskilled
47008,Minority,Men,2015,Unskilled
26296,White,Women,2007,Unskilled
49967,White,Men,2007,Unskilled
7746,White,Women,2007,Skilled
10646,Minority,Men,2015,Unskilled
51003,White,Men,2007,Unskilled
23966,White,Men,2007,Unskilled
73833,White,Men,2007,Unskilled
18611,Minority,Women,2015,Unskilled
33449,Minority,Men,2007,Unskilled
65906,White,Women,2015,Semi-Skilled
48641,Minority,Women,2015,Unskilled
1519,Minority,Women,2007,Skilled
6095,White,Men,2007,Skilled
82567,White,Women,2015,Unskilled
75298,White,Women,2007,Unskilled
69888,White,Men,2015,Unskilled
43582,Minority,Women,2007,Unskilled
16917,White,Women,2007,Skilled
905,Minority,Men,2007,Skilled
39779,Minority,Men,2007,Unskilled
48946,Minority,Women,2015,Unskilled
29126,White,Men,2015,Unskilled
29536,Minority,Men,2015,Semi-Skilled
54050,White,Men,2015,Unskilled
15695,White,Men,2007,Skilled
13680,White,Women,2015,Skilled
51549,Minority,Women,2015,Unskilled
32245,White,Women,2015,Unskilled
28561,Minority,Men,2015,Semi-Skilled
44899,White,Women,2015,Unskilled
69165,White,Women,2007,Unskilled
50520,Minority,Women,2015,Unskilled
1442,Minority,Women,2007,Skilled
63187,White,Men,2015,Semi-Skilled
40928,White,Women,2007,Unskilled
57819,White,Men,2007,Semi-Skilled
43969,Minority,Women,2007,Unskilled
26383,Minority,Men,2007,Semi-Skilled
51150,Minority,Women,2015,Unskilled
1018,Minority,Men,2007,Skilled
44937,White,Women,2015,Unskilled
76257,White,Women,2007,Unskilled
46958,Minority,Men,2015,Unskilled
56745,White,Men,2007,Semi-Skilled
2504,Minority,Men,2015,Skilled
39837,Minority,Men,2007,Unskilled
58952,White,Men,2007,Semi-Skilled
13939,Minority,Men,2007,Unskilled
44388,White,Women,2015,Unskilled
81058,White,Women,2015,Unskilled
58376,White,Men,2007,Semi-Skilled
34703,Minority,Women,2007,Unskilled
31691,White,Women,2015,Unskilled
79155,White,Men,2015,Unskilled
27960,Minority,Women,2007,Semi-Skilled
66429,White,Men,2007,Unskilled
77759,White,Women,2007,Unskilled
47435,White,Women,2015,Unskilled
58602,White,Men,2007,Semi-Skilled
24800,White,Women,2007,Unskilled
38500,White,Women,2007,Unskilled
9831,Minority,Men,2015,Unskilled
78868,White,Men,2015,Unskilled
19135,Minority,Women,2015,Unskilled
25626,White,Women,2007,Unskilled
16905,Minority,Men,2015,Unskilled
36187,Minority,Men,2015,Unskilled
35641,Minority,Women,2007,Unskilled
57058,White,Men,2007,Semi-Skilled
79933,White,Men,2015,Unskilled
62157,White,Men,2015,Semi-Skilled
74238,White,Men,2007,Unskilled
23179,White,Men,2007,Unskilled
39171,Minority,Women,2015,Unskilled
41545,White,Men,2015,Unskilled
53247,White,Men,2015,Unskilled
42287,Minority,Women,2007,Unskilled
20158,White,Women,2015,Skilled
43285,White,Women,2015,Unskilled
63355,White,Men,2015,Semi-Skilled
49958,White,Men,2007,Unskilled
11153,Minority,Women,2015,Unskilled
11329,Minority,Women,2015,Unskilled
43226,Minority,Women,2007,Unskilled
49602,Minority,Women,2015,Unskilled
8970,White,Men,2015,Skilled
25044,Minority,Men,2007,Semi-Skilled
24031,White,Men,2007,Unskilled
35250,White,Men,2007,Unskilled
882,White,Men,2007,Skilled
417,Minority,Men,2007,Skilled
50971,White,Men,2007,Unskilled
15668,Minority,Women,2007,Unskilled
21899,Minority,Men,2007,Unskilled
20149,White,Women,2015,Skilled
42704,White,Men,2015,Unskilled
50667,White,Men,2007,Unskilled
27954,Minority,Women,2007,Semi-Skilled
73856,White,Men,2007,Unskilled
82116,White,Women,2015,Unskilled
37824,White,Women,2007,Unskilled
31444,Minority,Women,2015,Semi-Skilled
55717,White,Men,2007,Semi-Skilled
40096,Minority,Men,2007,Unskilled
34517,White,Men,2007,Unskilled
16427,Minority,Women,2007,Unskilled
1130,Minority,Men,2007,Skilled
63822,White,Men,2015,Semi-Skilled
42716,White,Men,2015,Unskilled
27879,Minority,Women,2007,Semi-Skilled
2574,Minority,Men,2015,Skilled
71687,White,Women,2015,Unskilled
21730,White,Men,2007,Unskilled
7793,Minority,Men,2007,Unskilled
813,White,Men,2007,Skilled
32925,White,Women,2015,Unskilled
13570,White,Women,2015,Skilled
53222,White,Men,2015,Unskilled
6517,Minority,Women,2015,Skilled
6983,White,Women,2007,Skilled
65835,White,Women,2015,Semi-Skilled
9784,Minority,Men,2015,Unskilled
64596,White,Men,2015,Semi-Skilled
47387,White,Women,2015,Unskilled
51577,White,Men,2007,Unskilled
65086,White,Women,2015,Semi-Skilled
72488,White,Men,2007,Unskilled
3540,White,Men,2007,Skilled
79269,White,Men,2015,Unskilled
49899,Minority,Women,2015,Unskilled
46421,Minority,Men,2015,Unskilled
26519,White,Women,2007,Unskilled
22846,White,Men,2007,Unskilled
57481,White,Men,2007,Semi-Skilled
33645,White,Women,2015,Unskilled
25027,Minority,Men,2007,Semi-Skilled
9315,Minority,Women,2007,Unskilled
37962,Minority,Men,2015,Unskilled
34726,Minority,Women,2007,Unskilled
748,Minority,Men,2007,Skilled
50828,Minority,Women,2015,Unskilled
58175,White,Men,2007,Semi-Skilled
23172,Minority,Men,2015,Unskilled
21110,White,Women,2015,Skilled
73356,White,Men,2007,Unskilled
84183,White,Women,2015,Unskilled
46113,Minority,Men,2015,Unskilled
61069,White,Men,2015,Semi-Skilled
58910,White,Men,2007,Semi-Skilled
52678,White,Men,2015,Unskilled
4455,Minority,Women,2007,Skilled
1877,Minority,Men,2015,Skilled
12052,Minority,Women,2015,Unskilled
44236,Minority,Women,2007,Unskilled
81314,White,Women,2015,Unskilled
13870,Minority,Men,2007,Unskilled
50683,White,Men,2007,Unskilled
20834,White,Women,2015,Skilled
58207,White,Men,2007,Semi-Skilled
12966,Minority,Women,2015,Unskilled
26661,Minority,Men,2007,Semi-Skilled
73839,White,Men,2007,Unskilled
52943,White,Men,2015,Unskilled
40633,White,Women,2007,Unskilled
73215,White,Men,2007,Unskilled
8777,White,Men,2015,Skilled
12894,White,Women,2015,Skilled
58023,White,Men,2007,Semi-Skilled
47165,White,Women,2015,Unskilled
76572,White,Women,2007,Unskilled
29999,Minority,Men,2015,Semi-Skilled
17851,White,Women,2007,Skilled
18645,Minority,Women,2015,Unskilled
25556,Minority,Men,2007,Semi-Skilled
39625,Minority,Men,2007,Unskilled
57130,White,Men,2007,Semi-Skilled
19339,Minority,Women,2015,Unskilled
41631,Minority,Men,2007,Unskilled
3407,Minority,Women,2015,Skilled
15936,White,Men,2007,Skilled
18797,White,Men,2015,Skilled
40463,Minority,Men,2007,Unskilled
8442,Minority,Women,2007,Unskilled
26955,White,Women,2007,Unskilled
69233,White,Women,2007,Unskilled
30806,Minority,Men,2015,Semi-Skilled
17686,Minority,Men,2015,Unskilled
62005,White,Men,2015,Semi-Skilled
