hotel_name,rating,count
Newbury Guest House,Poor,20
Newbury Guest House,Terrible,16
"The Westin Copley Place, Boston",Excellent,"1,624"
"The Westin Copley Place, Boston",Very good,"1,052"
"The Westin Copley Place, Boston",Average,366
"The Westin Copley Place, Boston",Poor,122
"The Westin Copley Place, Boston",Terrible,53
"The Envoy Hotel, Autograph Collection",Excellent,184
"The Envoy Hotel, Autograph Collection",Very good,72
"The Envoy Hotel, Autograph Collection",Average,29
"The Envoy Hotel, Autograph Collection",Poor,22
"The Envoy Hotel, Autograph Collection",Terrible,4
Hyatt Regency Boston Harbor,Excellent,905
Hyatt Regency Boston Harbor,Very good,643
Hyatt Regency Boston Harbor,Average,223
Hyatt Regency Boston Harbor,Poor,99
Hyatt Regency Boston Harbor,Terrible,46
Hyatt Regency Boston,Excellent,"1,189"
Hyatt Regency Boston,Very good,974
Hyatt Regency Boston,Average,441
Hyatt Regency Boston,Poor,160
Hyatt Regency Boston,Terrible,72
"The Ritz-Carlton, Boston",Excellent,350
"The Ritz-Carlton, Boston",Very good,117
"The Ritz-Carlton, Boston",Average,52
"The Ritz-Carlton, Boston",Poor,35
"The Ritz-Carlton, Boston",Terrible,6
Boston Marriott Long Wharf,Excellent,897
Boston Marriott Long Wharf,Very good,629
Boston Marriott Long Wharf,Average,193
Boston Marriott Long Wharf,Poor,78
Boston Marriott Long Wharf,Terrible,32
Kimpton Onyx Hotel,Excellent,603
Kimpton Onyx Hotel,Very good,399
Kimpton Onyx Hotel,Average,129
Kimpton Onyx Hotel,Poor,51
Kimpton Onyx Hotel,Terrible,23
Revere Hotel Boston Common,Excellent,"1,629"
Revere Hotel Boston Common,Very good,939
Revere Hotel Boston Common,Average,309
Revere Hotel Boston Common,Poor,78
Revere Hotel Boston Common,Terrible,52
The Westin Boston Waterfront,Excellent,944
The Westin Boston Waterfront,Very good,856
The Westin Boston Waterfront,Average,317
The Westin Boston Waterfront,Poor,102
The Westin Boston Waterfront,Terrible,59
The Inn At St Botolph,Excellent,350
The Inn At St Botolph,Very good,115
The Inn At St Botolph,Average,25
The Inn At St Botolph,Poor,10
The Inn At St Botolph,Terrible,2
"Ames Boston Hotel, Curio Collection by Hilton",Excellent,536
"Ames Boston Hotel, Curio Collection by Hilton",Very good,318
"Ames Boston Hotel, Curio Collection by Hilton",Average,108
"Ames Boston Hotel, Curio Collection by Hilton",Poor,46
"Ames Boston Hotel, Curio Collection by Hilton",Terrible,15
"The Liberty, A Luxury Collection Hotel",Excellent,126
"The Liberty, A Luxury Collection Hotel",Very good,65
"The Liberty, A Luxury Collection Hotel",Average,23
"The Liberty, A Luxury Collection Hotel",Poor,10
"The Liberty, A Luxury Collection Hotel",Terrible,8
