hotel_name,review_id,attribute,star_value
"Marriott Vacation Club Pulse at Custom House, Boston",review_390251824,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_389816897,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_389816897,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_389816897,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_388485170,Rooms,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_388485170,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_388485170,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_387644620,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_387644620,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_387644620,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_387631154,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_387631154,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_387631154,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_386775212,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_386775212,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_386775212,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_380543293,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_380543293,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_380543293,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_379372732,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_379372732,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_379372732,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_378109172,Value,3 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_378109172,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_378109172,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_377913640,Sleep Quality,1 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_377913640,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_377913640,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_377290973,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_377290973,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_377290973,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_375210972,Value,3 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_375210972,Rooms,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_375210972,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_374541825,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_374541825,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_374541825,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_373533354,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_373533354,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_373533354,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_369981787,Value,3 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_369981787,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_369981787,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_369371595,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_369371595,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_369371595,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_368594646,Value,3 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_368594646,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_368594646,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_365907633,Value,5 of 5 bubbles
